# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 835K of event 'cycles:u'
# Event count (approx.): 518900282875
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_normalize_utf32
     0.00%  spindec  mca_allocator_bucket.so         [.] pthread_mutex_unlock@plt
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_hash_table_set_value_ptr
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_inq_varid
     0.00%  spindec  ld-linux-x86-64.so.2            [.] __nptl_change_stack_perm
     0.00%  spindec  spindec                         [.] mpi_send_@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_putn_double_double@plt
     0.00%  spindec  spindec                         [.] omp_get_thread_num@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] pthread_cond_signal@plt
     0.00%  spindec  libc.so.6                       [.] strspn
     0.00%  spindec  mca_allocator_bucket.so         [.] mca_allocator_bucket_alloc_wrapper
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_coll_base_reduce_generic@plt
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] memcpy@plt
     0.00%  spindec  libgfortran.so.5.0.0            [.] memcmp@plt
     0.00%  spindec  spindec                         [.] memcpy@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_varoffset.isra.1
     0.00%  spindec  spindec                         [.] GOMP_parallel@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_write
     0.00%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_send_request_start_prepare@plt
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dx
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_cond_init@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_vara_double_
     0.00%  spindec  libnetcdf.so.19                 [.] readmagic
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapadd
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Status_c2f@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] mpi_reduce_
     0.00%  spindec  spindec                         [.] __io_MOD_write_netcdf_parts
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_rel
     0.00%  spindec  libc.so.6                       [.] _IO_file_fopen
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] poll@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_close_@plt
     0.00%  mpirun   libhwloc.so.15.5.2              [.] cpuid_or_from_dump
     0.00%  spindec  libnetcdf.so.19                 [.] NC_var_shape
     0.00%  spindec  libevent_pthreads-2.1.so.7.0.1  [.] pthread_mutex_unlock@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_overflow
     0.00%  spindec  libnetcdf.so.19                 [.] NCedgeck.isra.0
     0.00%  spindec  libc.so.6                       [.] getpagesize
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_var1_double_
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_convertor_construct
     0.00%  spindec  libc.so.6                       [.] psiginfo
     0.00%  spindec  libnetcdf.so.19                 [.] find_in_NCList
     0.00%  spindec  libc.so.6                       [.] _IO_link_in
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dy
     0.00%  mpirun   ld-linux-x86-64.so.2            [.] _dl_rtld_di_serinfo
     0.00%  spindec  libnetcdf.so.19                 [.] NC_calcsize
     0.00%  spindec  libc.so.6                       [.] _IO_file_finish
     0.00%  spindec  libc.so.6                       [.] __nptl_death_event
     0.00%  spindec  libnetcdf.so.19                 [.] NC_put_vara
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_var
     0.00%  spindec  libc.so.6                       [.] _IO_file_open
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_string_scan
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findvar@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncuriparse
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlens@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_close
     0.00%  spindec  libc.so.6                       [.] _IO_file_seekoff
     0.00%  spindec  libnetcdf.so.19                 [.] free@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Reduce@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_encode_char@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_off_t
     0.00%  spindec  libmpi.so.40.30.3               [.] free@plt
     0.00%  spindec  libc.so.6                       [.] __fxstat
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_uint32
     0.00%  spindec  libnetcdf.so.19                 [.] nctypelen@plt
     0.00%  spindec  libnetcdf.so.19                 [.] malloc@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_cond_destroy@plt
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dy
