# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles:u'
# Event count (approx.): 811001034058
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  libnetcdf.so.19                 [.] strlen@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_crc64@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_shape_4@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_uint32
     0.00%  spindec  libopen-pal.so.40.30.2          [.] mca_base_var_generate_full_name4
     0.00%  spindec  libc.so.6                       [.] _IO_file_close
     0.00%  spindec  libc.so.6                       [.] 0x00000000000282c4
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapadd
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC3INFO
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_var_all
     0.00%  spindec  libgfortran.so.5.0.0            [.] memcpy@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_put_var1_double
     0.00%  spindec  libnetcdf.so.19                 [.] NCedgeck.isra.0
     0.00%  spindec  libnetcdf.so.19                 [.] NC_open@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncuriparse@plt
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_deallocate_tls
     0.00%  orted    libopen-pal.so.40.30.2          [.] opal_hash_table_get_value_ptr
     0.00%  orted    libc.so.6                       [.] __libc_malloc
     0.00%  orted    ld-linux-x86-64.so.2            [.] _dl_catch_error
     0.00%  orted    ld-linux-x86-64.so.2            [.] _dl_deallocate_tls
     0.00%  orted    libc.so.6                       [.] strtoll_l
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapfree@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_vararrayV@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_attrarrayV@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findattr
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_map@plt
     0.00%  spindec  libnetcdf.so.19                 [.] fclose@plt
     0.00%  spindec  libc.so.6                       [.] fstatat64
     0.00%  spindec  spindec                         [.] __comms_MOD_comms_get_global_f
     0.00%  spindec  libc.so.6                       [.] fopen64
     0.00%  spindec  libc.so.6                       [.] getpagesize
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_close_
     0.00%  spindec  libc.so.6                       [.] _IO_sgetn
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_pad_getn_void
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_close
     0.00%  spindec  libnetcdf.so.19                 [.] __fxstat64@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_nc_interfaces_MOD_addcnullchar@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlen@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_uint32@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_reencode
     0.00%  spindec  libnetcdf.so.19                 [.] __strdup@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_id@plt
     0.00%  spindec  libnetcdf.so.19                 [.] elem_NC_dimarray
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_dim@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC_attrV
     0.00%  spindec  libnetcdf.so.19                 [.] nc_get_default_format
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_iterate
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_attr
     0.00%  spindec  libnetcdf.so.19                 [.] malloc@plt
     0.00%  spindec  libc.so.6                       [.] _IO_setb
     0.00%  spindec  libc.so.6                       [.] _IO_file_close_it
     0.00%  orted    libopen-pal.so.40.30.2          [.] opal_util_keyval_yylex
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Reduce@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_string_scan@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_lookupvar
     0.00%  spindec  libnetcdf.so.19                 [.] NC_sync@plt
     0.00%  spindec  libnetcdf.so.19                 [.] posixio_open
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_nc_type
     0.00%  spindec  libnetcdf.so.19                 [.] del_from_NCList@plt
     0.00%  spindec  spindec                         [.] __netcdf_MOD_nf90_close@plt
     0.00%  spindec  libnetcdf.so.19                 [.] find_in_NCList@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_int_int@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_var
     0.00%  spindec  libnetcdf.so.19                 [.] add_to_NCList
     0.00%  spindec  libnetcdf.so.19                 [.] write_numrecs
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_datatype_copy_content_same_ddt
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV
     0.00%  orted    libc.so.6                       [.] getenv
     0.00%  spindec  libcrypto.so.1.1                [.] OPENSSL_LH_insert
     0.00%  spindec  libcrypto.so.1.1                [.] getrn
     0.00%  orted    libopen-pal.so.40.30.2          [.] mca_base_component_repository_open
     0.00%  orted    libc.so.6                       [.] __default_morecore
     0.00%  orted    libhwloc.so.15.5.2              [.] hwloc_bitmap_iszero
     0.00%  spindec  mca_btl_self.so                 [.] _init
     0.00%  spindec  libhdf5.so.200.2.0              [.] H5T__path_find_real
     0.00%  spindec  libnetcdf.so.19                 [.] NCZ_provenance_init
     0.00%  spindec  libc.so.6                       [.] __pthread_getspecific
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfreeall@plt
     0.00%  spindec  libc.so.6                       [.] memcpy
     0.00%  orted    libc.so.6                       [.] __sigsetjmp
     0.00%  spindec  mca_coll_han.so                 [.] han_register
     0.00%  spindec  libc.so.6                       [.] getenv
     0.00%  orted    mca_pmix_pmix3x.so              [.] pmix_argv_split_inter
     0.00%  spindec  ld-linux-x86-64.so.2            [.] 0x00000000000025ea
     0.00%  spindec  spindec                         [.] mpi_reduce_@plt
     0.00%  spindec  libopen-pal.so.40.30.2          [.] mca_base_var_group_add_var
     0.00%  spindec  spindec                         [.] __grid_MOD_grid_init.constprop.0
     0.00%  orted    [unknown]                       [k] 0xffffffff89a010a7
     0.00%  spindec  libc.so.6                       [.] 0x00000000000282c0
     0.00%  spindec  libnetcdf.so.19                 [.] clearerr@plt
     0.00%  orted    libc.so.6                       [.] _IO_default_xsputn
     0.00%  spindec  libc.so.6                       [.] _IO_unsave_markers
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_inq_varndims@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_var@plt
     0.00%  spindec  libc.so.6                       [.] _IO_switch_to_get_mode
     0.00%  orted    libmca_common_dstore.so.1.0.2   [.] _dstore_store_nolock
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapkey@plt
     0.00%  spindec  libnetcdf.so.19                 [.] open64@plt
     0.00%  orted    mca_pmix_pmix3x.so              [.] listen_thread
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_map_custom@plt
     0.00%  spindec  libnetcdf.so.19                 [.] free@plt
     0.00%  spindec  libnetcdf.so.19                 [.] memcmp@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_filesize
     0.00%  spindec  spindec                         [.] __netcdf_MOD_nf90_put_var_eightbytereal@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_varid
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dim@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_pad_getn_text
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_inq_varid
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapget@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_szof@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapadd@plt
     0.00%  spindec  libc.so.6                       [.] fileno_unlocked
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_new
     0.00%  spindec  libc.so.6                       [.] __pthread_mutex_unlock
     0.00%  spindec  libnetcdf.so.19                 [.] free_NCList
     0.00%  spindec  libnetcdf.so.19                 [.] ferror@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_lookupvar@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_map
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_concat_string
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_pad_getn_text@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8_normalize
     0.00%  spindec  libnetcdf.so.19                 [.] rewind@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_sync@plt
     0.00%  spindec  libc.so.6                       [.] 0x00000000000283d0
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findattr@plt
