# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'cycles:u'
# Event count (approx.): 129682211826
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.01%  spindec  spindec                         [.] __potentials_MOD_total_potential._omp_fn.1
     0.01%  spindec  spindec                         [.] __free_energy_MOD_bulk_free_energy
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dx
     0.01%  spindec  libc.so.6                       [.] brk
     0.01%  spindec  spindec                         [.] __io_MOD_write_netcdf_parts
     0.01%  spindec  libnetcdff.so.7.0.0             [.] nf_open_@plt
     0.01%  spindec  libnetcdf.so.19                 [.] NC_hashmapfree
     0.01%  spindec  libc.so.6                       [.] __errno_location
     0.01%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_custom
     0.01%  spindec  libnetcdf.so.19                 [.] putNCvx_double_double
     0.01%  spindec  libmpi.so.40.30.3               [.] PMPI_Reduce
     0.01%  spindec  libmpi_mpifh.so.40.30.0         [.] mpi_reduce_
     0.01%  spindec  ld-linux-x86-64.so.2            [.] _dl_rtld_di_serinfo
     0.01%  spindec  spindec                         [.] __potentials_MOD_total_potential
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q
     0.01%  spindec  libnetcdf.so.19                 [.] write@plt
     0.01%  spindec  libmpi.so.40.30.3               [.] PMPI_Comm_f2c
     0.01%  spindec  libnetcdf.so.19                 [.] ncx_putn_double_double@plt
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_time_evolution_new
     0.01%  spindec  libgomp.so.1.0.0                [.] GOMP_single_copy_end
     0.01%  spindec  libnetcdf.so.19                 [.] free_NC_string@plt
     0.01%  spindec  libc.so.6                       [.] sysconf
     0.01%  spindec  libgfortran.so.5.0.0            [.] memcmp@plt
     0.01%  spindec  libnetcdf.so.19                 [.] NC3_put_vara
     0.01%  spindec  libnetcdff.so.7.0.0             [.] nc_put_vara_double@plt
     0.01%  spindec  libnetcdf.so.19                 [.] ncx_howmany
     0.01%  spindec  libnetcdf.so.19                 [.] NC_open@plt
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_mobility
     0.01%  spindec  libc.so.6                       [.] strspn
     0.01%  spindec  libnetcdf.so.19                 [.] ncio_rel@plt
     0.01%  spindec  libnetcdff.so.7.0.0             [.] nf_put_vara_double_@plt
     0.01%  spindec  libnetcdf.so.19                 [.] new_x_NC_dim@plt
     0.01%  spindec  libnetcdf.so.19                 [.] new_x_NC_var@plt
     0.01%  spindec  spindec                         [.] __cahn_hilliard_MOD_del_q._omp_fn.1
     0.01%  spindec  libnetcdff.so.7.0.0             [.] nf_inq_varid_@plt
     0.01%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_open
     0.01%  spindec  libc.so.6                       [.] __sbrk
     0.01%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_map_custom
     0.01%  spindec  libnetcdf.so.19                 [.] fill_NC_var@plt
     0.01%  spindec  libnetcdf.so.19                 [.] nctypelen
     0.01%  spindec  libnetcdf.so.19                 [.] lseek64@plt
     0.01%  spindec  libnetcdf.so.19                 [.] v1h_get_NC_attrarray
     0.01%  spindec  libnetcdf.so.19                 [.] ncio_get@plt
     0.01%  spindec  libnetcdff.so.7.0.0             [.] nc_inq_varid@plt
     0.00%  spindec  libnetcdf.so.19                 [.] malloc@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_schar_schar@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_put_var_eightbytereal
     0.00%  spindec  libnetcdf.so.19                 [.] add_to_NCList
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlens
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlen
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC3INFO
     0.00%  spindec  libopen-pal.so.40.30.2          [.] non_overlap_copy_content_same_ddt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_normalize_utf32
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC_attrV
     0.00%  spindec  libc.so.6                       [.] _IO_file_seekoff
     0.00%  spindec  libnetcdf.so.19                 [.] NC_var_shape
     0.00%  spindec  libnetcdf.so.19                 [.] read@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_iterate
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_rel
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_catch_error
     0.00%  spindec  libnetcdf.so.19                 [.] writeNCv
     0.00%  spindec  libc.so.6                       [.] _IO_file_overflow
     0.00%  spindec  libnetcdff.so.7.0.0             [.] memcpy@plt
     0.00%  spindec  libgomp.so.1.0.0                [.] omp_get_num_threads
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfreeall
     0.00%  orted    libc.so.6                       [.] __nss_database_lookup
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_open
     0.00%  spindec  libc.so.6                       [.] _IO_enable_locks
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_vararrayV
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Type_f2c@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_open
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_var_all
     0.00%  spindec  libc.so.6                       [.] _IO_puts
     0.00%  spindec  libc.so.6                       [.] _IO_file_doallocate
     0.00%  spindec  libnetcdf.so.19                 [.] NC_calcsize
     0.00%  spindec  libnetcdf.so.19                 [.] NC_calcsize@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_close_@plt
     0.00%  spindec  mca_coll_self.so                [.] mca_coll_self_reduce_intra
