# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 395K of event 'cycles:u'
# Event count (approx.): 223703469592
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  libnetcdf.so.19                 [.] rel_v1hs
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_putn_double_double@plt
     0.00%  spindec  libnetcdf.so.19                 [.] __strdup@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistextract@plt
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_attr
     0.00%  spindec  libnetcdf.so.19                 [.] fill_NC_var@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_putn_double_double
     0.00%  mpirun   ld-linux-x86-64.so.2            [.] __nptl_change_stack_perm
     0.00%  spindec  libc.so.6                       [.] _IO_file_close_it
     0.00%  spindec  libnetcdf.so.19                 [.] nctypelen@plt
     0.00%  spindec  spindec                         [.] mpi_sendrecv_@plt
     0.00%  spindec  spindec                         [.] _gfortran_select_string@plt
     0.00%  spindec  libcrypto.so.1.1                [.] err_string_data_hash
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_argv_split_inter
     0.00%  spindec  libc.so.6                       [.] _IO_file_doallocate
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8_normalize
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_close@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_szof@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findvar
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_coll_base_reduce_generic@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_stat
     0.00%  spindec  libc.so.6                       [.] fstatat64
     0.00%  spindec  libevent_pthreads-2.1.so.7.0.1  [.] pthread_mutex_unlock@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_overflow
     0.00%  spindec  libnetcdff.so.7.0.0             [.] free@plt
     0.00%  spindec  libnetcdf.so.19                 [.] fileno@plt
     0.00%  spindec  libopen-rte.so.40.30.2          [.] gethostname@plt
     0.00%  mpirun   libc.so.6                       [.] _IO_default_xsputn
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_sync
     0.00%  spindec  libnetcdf.so.19                 [.] ncurifree
     0.00%  spindec  libhdf5.so.200.2.0              [.] H5_hash_string
     0.00%  spindec  libnetcdf.so.19                 [.] NCiocount.isra.2
     0.00%  spindec  libnetcdf.so.19                 [.] NC_infermodel@plt
     0.00%  spindec  libnetcdf.so.19                 [.] new_NC_string@plt
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_string_scan
     0.00%  spindec  libevent_pthreads-2.1.so.7.0.1  [.] evthread_posix_lock
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapget
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlens@plt
     0.00%  spindec  spindec                         [.] __netcdf_MOD_nf90_inq_varid@plt
